Session;UAI;Nom.de.l.établissement;Commune;Département;Académie;Secteur;Nb.candidats...G;Taux.de.réussite...G;VA.du.taux.de.réussite...G;Note.à.l.écrit...G;VA.de.la.note...G;Taux.d.accès.6ème.3ème;Part.présents.3ème.ordinaire...G;Nb.mentions.global...G;adresse_uai;code_postal_uai;libelle_commune;latitude;longitude;code_departement;code_region;code_academie;code_commune;Taux.de.mentions...Gnle;score;classement
2023;0560174K;COLLEGE PRIVE STE ANNE;LA TRINITE PORHOET;MORBIHAN;RENNES;privé;54;100.0;6.0;12.2;0.9;100.0;;53;2 RUE DU PAVILLON;56490;La Trinité-Porhoët;48,09679393065246;-2,5464004963709996;56;53;14;56257;98,1481481481482;2,98148148148148;1
2023;0920902F;COLLEGE PRIVE DUPANLOUP;BOULOGNE BILLANCOURT;HAUTS-DE-SEINE;VERSAILLES;privé;164;100.0;0.0;14.8;-0.6;98.0;;164;4 avenue Robert Schuman;92100;Boulogne-Billancourt;48,84463242986607;2,2499416639277277;92;11;25;92012;100,0000000000000;2,98000000000000;2
2023;0920999L;COLLEGE PRIVE SAINTE-GENEVIEVE;COURBEVOIE;HAUTS-DE-SEINE;VERSAILLES;privé;117;100.0;1.0;13.7;-0.9;98.0;;117;6 rue Jean-Pierre Timbaud;92400;Courbevoie;48,89726629189699;2,2548903846934105;92;11;25;92026;100,0000000000000;2,98000000000000;3
2023;0301751R;COLLEGE PRIVE EMMANUEL D'ALZON;LE GRAU DU ROI;GARD;MONTPELLIER;privé;102;100.0;6.0;13.8;2.4;98.0;;102;953 route DE CARNON;30240;Le Grau-du-Roi;43,55308839244859;4,1100004425292394;30;76;11;30133;100,0000000000000;2,98000000000000;4
2023;0921902T;COLLEGE PRIVE SAINTE-GENEVIEVE;ASNIERES SUR SEINE;HAUTS-DE-SEINE;VERSAILLES;privé;199;100.0;0.0;15.5;0.4;98.0;;199;48 avenue de la Marne;92600;Asnières-sur-Seine;48,90786604728012;2,2839930316179169;92;11;25;92004;100,0000000000000;2,98000000000000;5
2023;0340908C;COLLEGE PRIVE SAINT-CHARLES;SAINT GEORGES D ORQUES;HERAULT;MONTPELLIER;privé;95;100.0;;13.8;;98.0;;95;5 bis avenue de l'Occitanie;34680;Saint-Georges-d'Orques;43,60794101965969;3,7863888685049281;34;76;11;34259;100,0000000000000;2,98000000000000;6
2023;0752843H;COLLEGE PRIVE BLOMET;PARIS 15;PARIS;PARIS;privé;172;100.0;0.0;16.4;0.9;97.0;;172;5 rue Blomet;75015;Paris 15e  Arrondissement;48,84394030944713;2,3088341376585864;75;11;1;75115;100,0000000000000;2,97000000000000;8
2023;0131385K;COLLEGE PRIVE ST EUGENE DE MAZENOD;MARSEILLE 11;BOUCHES-DU-RHONE;AIX-MARSEILLE;privé;93;100.0;1.0;14.4;0.6;97.0;;93;Impasse PONT DE LA CLUE;13391;Marseille 11e  Arrondissement;43,30889938439486;5,4989594734709346;13;93;2;13211;100,0000000000000;2,97000000000000;9
2023;0430902X;COLLEGE PRIVE SAINT REGIS;LE PUY EN VELAY;HAUTE-LOIRE;CLERMONT-FERRAND;privé;98;100.0;4.0;13.6;1.5;97.0;;98;2 rue ABBE DE L'EPEE;43000;Le Puy-en-Velay;45,04464825010484;3,8856895562787939;43;84;6;43157;100,0000000000000;2,97000000000000;10
2023;0132911U;COLLEGE PRIVE NOTRE DAME DE FRANCE;MARSEILLE 06;BOUCHES-DU-RHONE;AIX-MARSEILLE;privé;94;100.0;1.0;13.7;-0.5;97.0;;94;132  RUE BRETEUIL;13253;Marseille  6e  Arrondissement;43,28474718576696;5,3780200654497392;13;93;2;13206;100,0000000000000;2,97000000000000;11
2023;0940874P;COLLEGE PRIVE EPIN;VITRY SUR SEINE;VAL-DE-MARNE;CRETEIL;privé;95;100.0;0.0;15.7;0.4;98.0;;94;19  AVENUE EUGENE PELLETAN;94400;Vitry-sur-Seine;48,79419945658507;2,3848003666518878;94;11;24;94081;98,9473684210526;2,96947368421053;12
2023;0931705Y;COLLEGE PRIVE FRANCOISE CABRINI;NOISY LE GRAND;SEINE-SAINT-DENIS;CRETEIL;privé;169;100.0;1.0;14.8;0.9;99.0;;165;20 RUE DU DOCTEUR SUREAU;93167;Noisy-le-Grand;48,84615102732273;2,5490887631686205;93;11;24;93051;97,6331360946746;2,96633136094675;13
