Session;UAI;Nom.de.l.établissement;Commune;Département;Académie;Secteur;Nb.candidats...G;Taux.de.réussite...G;VA.du.taux.de.réussite...G;Note.à.l.écrit...G;VA.de.la.note...G;Taux.d.accès.6ème.3ème;Part.présents.3ème.ordinaire...G;Nb.mentions.global...G;adresse_uai;code_postal_uai;libelle_commune;latitude;longitude;code_departement;code_region;code_academie;code_commune;Taux.de.mentions...Gnle;score;classement
2023;0580038B;COLLEGE LES AMOGNES;SAINT BENIN D AZY;NIEVRE;DIJON;public;41;100.0;4.0;11.8;-0.9;100.0;;40;4 rue Gilbert Clair;58270;Saint-Benin-d'Azy;47,00151710369676;3,39334045733770839;58;27;7;58232;97,5609756097561;2,97560975609756;7
2023;0932581A;COLLEGE INTERNATIONAL;NOISY LE GRAND;SEINE-SAINT-DENIS;CRETEIL;public;98;100.0;1.0;15.0;0.1;96.0;;98;1 allée CHRISTOPHE COLOMB;93160;Noisy-le-Grand;48,84238056677849;2,53651110954333658;93;11;24;93051;100,0000000000000;2,96000000000000;20
2023;0751790N;COLLEGE PIERRE ALVISET;PARIS 05;PARIS;PARIS;public;138;100.0;1.0;14.8;0.5;96.0;;137;88 rue Monge;75005;Paris  5e  Arrondissement;48,84129468441950;2,35178359799565184;75;11;1;75105;99,2753623188406;2,95275362318841;29
2023;0761950G;COLLEGE LEONARD DE VINCI;BOIS GUILLAUME;SEINE MARITIME;NORMANDIE;public;146;100.0;1.0;13.9;-0.2;97.0;;143;186 rue Vittecoq;76235;Bois-Guillaume;49,47213919420339;1,12746879158406554;76;28;70;76108;97,9452054794521;2,94945205479452;36
2023;0783546F;COLLEGE FRANCO ALLEMAND;BUC;YVELINES;VERSAILLES;public;90;100.0;0.0;16.0;-0.7;95.0;;89;5 rue Collin Manet;78530;Buc;48,77120602357932;2,12151821011478914;78;11;25;78117;98,8888888888889;2,93888888888889;52
2023;0220045E;COLLEGE FRANCOIS-MARIE LUZEL;PLOUARET;COTES D'ARMOR;RENNES;public;46;100.0;5.0;11.8;0.0;97.0;;44;192 rue LUZEL;22420;Plouaret;48,61000423320831;-3,47276992962219433;22;53;14;22207;95,6521739130435;2,92652173913043;74
2023;0511564Y;COLLEGE RAYMOND SIROT;GUEUX;MARNE;REIMS;public;131;98.0;2.0;12.8;0.5;98.0;;126;9 rue DU MOUTIER;51390;Gueux;49,24957017605578;3,91376061774344564;51;44;19;51282;96,1832061068702;2,92183206106870;86
2023;0783122V;COLLEGE LES LOGES;SAINT GERMAIN EN LAYE;YVELINES;VERSAILLES;public;137;100.0;0.0;15.9;0.3;92.0;;137;Route des Loges MELH;78108;Saint-Germain-en-Laye;48,90329280203792;2,09331626756595623;78;11;25;78551;100,0000000000000;2,92000000000000;94
2023;0671989Y;COLLEGE GREGOIRE DE TOURS;MARLENHEIM;BAS-RHIN;STRASBOURG;public;131;99.0;2.0;13.0;0.2;99.0;;123;2 rue du Collège;67520;Marlenheim;48,61899076820512;7,49354139148263343;67;44;15;67282;93,8931297709924;2,91893129770992;99
2023;0290065N;COLLEGE EDOUARD QUEAU;PLOUDALMEZEAU;FINISTERE;RENNES;public;96;100.0;4.0;12.8;0.1;99.0;;89;8 rue du Collège;29830;Ploudalmézeau;48,55386038089402;-4,69378000059773548;29;53;14;29178;92,7083333333333;2,91708333333333;104
2023;0561384A;COLLEGE JOSEPH KERBELLEC;QUEVEN;MORBIHAN;RENNES;public;143;99.0;5.0;11.6;0.1;99.0;;134;40 rue DE GESTEL;56530;Quéven;47,79105143933349;-3,42511996841280464;56;53;14;56185;93,7062937062937;2,91706293706294;105
2023;0860017B;COLLEGE RENE CASSIN;L ISLE JOURDAIN;VIENNE;POITIERS;public;46;98.0;8.0;11.6;0.9;98.0;;44;3 allée de la Closeraie;86150;L'Isle-Jourdain;46,23001974348666;0,68563644689567782;86;75;13;86112;95,6521739130435;2,91652173913043;106
2023;0941598B;COLLEGE HECTOR BERLIOZ;VINCENNES;VAL-DE-MARNE;CRETEIL;public;121;100.0;2.0;14.2;0.4;98.0;;113;8 avenue ANTOINE QUINSON;94307;Vincennes;48,84679006794280;2,42690054024915947;94;11;24;94080;93,3884297520661;2,91388429752066;114
