Annee;UAI;Etablissement;Secteur;Code.commune;Commune;Code.departement;Departement;Academie;Code.region;Region;Presents...Gnle;Taux.de.reussite...Gnle;Taux.d.acces.2nde.bac;Taux.d.acces.1ere.bac;Taux.d.acces.terminale.bac;Taux.de.mentions...Gnle;Valeur.ajoutee.du.taux.de.mentions...Gnle;Valeur.ajoutee.du.taux.de.reussite...Gnle;Valeur.ajoutee.du.taux.d.acces.2nde.bac;Valeur.ajoutee.du.taux.d.acces.1ere.bac;Valeur.ajoutee.du.taux.d.acces.terminale.bac;adresse_uai;code_postal_uai;libelle_commune;latitude;longitude;code_departement;code_region;code_academie;code_commune;score;classement
2023;0750655E;LYCEE LOUIS LE GRAND;public;75105;PARIS 05;75;PARIS;PARIS;11;ILE-DE-FRANCE;291;100;98.0;98;100;100;2;0;5.0;1;0;123 rue Saint-Jacques;75005;Paris  5e  Arrondissement;48,84801821932347;2,3441764579524480;75;11;1;75105;4,96;1
2023;0750654D;LYCEE HENRI IV;public;75105;PARIS 05;75;PARIS;PARIS;11;ILE-DE-FRANCE;294;100;96.0;97;100;100;3;0;3.0;0;0;23 rue Clovis;75005;Paris  5e  Arrondissement;48,84635845716682;2,3473846168330463;75;11;1;75105;4,93;5
2023;0750652B;LYCEE CHARLEMAGNE;public;75104;PARIS 04;75;PARIS;PARIS;11;ILE-DE-FRANCE;247;100;97.0;98;100;97;6;0;6.0;1;1;14 rue Charlemagne;75004;Paris  4e  Arrondissement;48,85423565284383;2,3604935218748184;75;11;1;75104;4,92;6
2023;0783548H;LYCEE FRANCO ALLEMAND;public;78117;BUC;78;YVELINES;VERSAILLES;11;ILE-DE-FRANCE;148;100;95.0;99;100;97;1;0;3.0;2;0;5 rue Collin Mamet;78530;Buc;48,77120602357932;2,1215182101147891;78;11;25;78117;4,91;14
2023;0750667T;LYCEE CONDORCET;public;75109;PARIS 09;75;PARIS;PARIS;11;ILE-DE-FRANCE;170;100;98.0;99;100;94;1;0;8.0;2;0;8 rue du Havre;75009;Paris  9e  Arrondissement;48,87480311783600;2,3269329145962345;75;11;1;75109;4,91;15
2023;0783549J;LYCEE INTERNATIONAL;public;78551;SAINT GERMAIN EN LAYE;78;YVELINES;VERSAILLES;11;ILE-DE-FRANCE;346;100;94.0;98;100;97;6;0;3.0;2;0;Rue du Fer à Cheval;78101;Saint-Germain-en-Laye;48,89636869301770;2,0627041370757140;78;11;25;78551;4,89;23
2023;0750660K;LYCEE FENELON;public;75106;PARIS 06;75;PARIS;PARIS;11;ILE-DE-FRANCE;167;100;96.0;97;100;95;4;0;6.0;0;0;2 rue de l'Eperon;75006;Paris  6e  Arrondissement;48,85325197750154;2,3408125004069449;75;11;1;75106;4,88;28
2023;0782562L;LYCEE HOCHE;public;78646;VERSAILLES;78;YVELINES;VERSAILLES;11;ILE-DE-FRANCE;384;99;97.0;98;99;95;3;-1;6.0;1;-1;73 avenue de Saint-Cloud;78000;Versailles;48,80570117646580;2,1367267585775482;78;11;25;78646;4,88;30
2023;0711064W;LYCEE MILITAIRE NATIONAL;public;71014;AUTUN;71;SAONE-ET-LOIRE;DIJON;27;BOURGOGNE-FRANCHE-COMTE;91;100;97.0;99;100;89;8;1;9.0;4;1;3 rue des enfants de troupe;71407;Autun;46,94965758766919;4,3060563528763209;71;27;7;71014;4,85;47
2023;0750683K;LYCEE CLAUDE MONET;public;75113;PARIS 13;75;PARIS;PARIS;11;ILE-DE-FRANCE;337;100;96.0;98;99;89;5;1;7.0;2;0;1 rue du Docteur Magnan;75013;Paris 13e  Arrondissement;48,82743361046444;2,3623234040857297;75;11;1;75113;4,82;65
2023;0932638M;LYCEE INTERNATIONAL DE L'EST PARISIEN;public;93051;NOISY LE GRAND;93;SEINE-SAINT-DENIS;CRETEIL;11;ILE-DE-FRANCE;183;99;96.0;98;99;90;9;0;7.0;2;0;1 promenade Marco Polo;93160;Noisy-le-Grand;48,84162194779825;2,5405863314456787;93;11;24;93051;4,82;70
2023;0750653C;LYCEE SOPHIE GERMAIN;public;75104;PARIS 04;75;PARIS;PARIS;11;ILE-DE-FRANCE;243;100;96.0;99;99;88;-1;1;7.0;3;0;9 rue de Jouy;75004;Paris  4e  Arrondissement;48,85485829556443;2,3581962337243381;75;11;1;75104;4,82;76
2023;0920146J;LYCEE MARIE CURIE;public;92071;SCEAUX;92;HAUTS-DE-SEINE;VERSAILLES;11;ILE-DE-FRANCE;335;99;96.0;99;99;86;4;0;8.0;3;0;1 rue Constant Pilate;92331;Sceaux;48,77758742149511;2,2881158662393637;92;11;25;92071;4,79;90
2023;0940120V;LYCEE MARCELIN BERTHELOT;public;94068;SAINT MAUR DES FOSSES;94;VAL-DE-MARNE;CRETEIL;11;ILE-DE-FRANCE;332;100;94.0;97;99;89;2;1;4.0;1;0;6 boulevard MAURICE BERTEAUX;94100;Saint-Maur-des-Fossés;48,81037774890009;2,4700638431476509;94;11;24;94068;4,79;97
2023;0690026D;LYCEE DU PARC;public;69386;LYON 06;69;RHONE;LYON;84;AUVERGNE-RHONE-ALPES;235;100;94.0;98;99;87;3;1;5.0;2;0;1 boulevard Anatole France;69006;Lyon 6e  Arrondissement;45,77170286114671;4,8569223753781934;69;84;10;69386;4,78;98
2023;0061642C;LYCEE INTERNATIONAL;public;06152;VALBONNE;06;ALPES-MARITIMES;NICE;93;PROVENCE-ALPES-COTE D'AZUR;354;100;90.0;97;100;91;9;1;1.0;1;1;190 rue Frédéric Mistral;6560;Valbonne;43,62089420302414;7,0420257690979664;6;93;23;06152;4,78;103
2023;0720896H;LYCEE PRYTANEE NATIONAL MILITAIRE;public;72154;LA FLECHE;72;SARTHE;"NANTES";52;PAYS DE LA LOIRE;149;100;95.0;97;100;86;3;1;5.0;1;1;22 rue du Collège;72208;La Flèche;47,70028018105913;-0,0752570846734560;72;52;17;72154;4,78;112
2023;0920145H;LYCEE LAKANAL;public;92071;SCEAUX;92;HAUTS-DE-SEINE;VERSAILLES;11;ILE-DE-FRANCE;321;100;93.0;97;99;89;2;1;4.0;1;0;3 avenue Président Franklin Roosevelt;92331;Sceaux;48,77746187786867;2,3066853226211932;92;11;25;92071;4,78;114
2023;0670114K;LYCEE STANISLAS (GENERAL ET TECHNO.);public;67544;WISSEMBOURG;67;BAS-RHIN;STRASBOURG;44;GRAND EST;202;99;95.0;97;98;87;12;1;8.0;2;0;7 rue du lycée;67163;Wissembourg;49,03522308610011;7,9600510209131974;67;44;15;67544;4,76;142
2023;0680060W;LYCEE RIBEAUPIERRE;public;68269;RIBEAUVILLE;68;HAUT-RHIN;STRASBOURG;44;GRAND EST;147;100;94.0;97;99;86;10;1;7.0;2;1;12 rue du Château;68150;Ribeauvillé;48,19756451167921;7,3156400702709785;68;44;15;68269;4,76;145
2023;0131596P;LYCEE POILUS (BD DES);public;13001;AIX EN PROVENCE;13;BOUCHES-DU-RHONE;AIX-MARSEILLE;93;PROVENCE-ALPES-COTE D'AZUR;135;100;94.0;97;100;85;8;1;4.0;1;1;13  BOULEVARD DES POILUS;13617;Aix-en-Provence;43,52723747240502;5,4569194643325076;13;93;2;13001;4,76;148
2023;0670049P;LYCEE FREPPEL;public;67348;OBERNAI;67;BAS-RHIN;STRASBOURG;44;GRAND EST;221;99;94.0;98;100;84;3;0;5.0;2;1;25 rue du général Gouraud;67212;Obernai;48,46181925494152;7,4867611848087101;67;44;15;67348;4,75;154
2023;0750648X;LYCEE VICTOR HUGO;public;75103;PARIS 03;75;PARIS;PARIS;11;ILE-DE-FRANCE;143;99;89.0;98;99;90;5;0;0.0;2;0;27 rue de Sévigné;75003;Paris  3e  Arrondissement;48,85751187081702;2,3631696764011680;75;11;1;75103;4,75;164
2023;0060014H;LYCEE JULES FERRY;public;06029;CANNES;06;ALPES-MARITIMES;NICE;93;PROVENCE-ALPES-COTE D'AZUR;172;100;93.0;96;99;87;10;2;6.0;2;2;82 boulevard de la République;6400;Cannes;43,55967544894346;7,0218582256922453;6;93;23;06029;4,75;165
2023;0680068E;LYCEE LOUISE WEISS (GENERAL ET TECHNO.);public;68298;SAINTE MARIE AUX MINES;68;HAUT-RHIN;STRASBOURG;44;GRAND EST;32;100;100.0;100;100;75;13;4;13.0;6;3;Route du Stade;68160;Sainte-Marie-aux-Mines;48,23716842184894;7,1717601031642246;68;44;15;68298;4,75;167
2023;0240026Y;LYCEE ALBERT CLAVEILLE (GENERAL ET TECHNO.);public;24322;PERIGUEUX;24;DORDOGNE;BORDEAUX;75;NOUVELLE-AQUITAINE;68;100;89.0;94;97;94;17;1;2.0;0;0;80 rue Victor Hugo;24000;Périgueux;45,18916104209104;0,7142762341828954;24;75;4;24322;4,74;173
2023;0480688M;LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.);public;48140;SAINT CHELY D APCHER;48;LOZERE;MONTPELLIER;76;OCCITANIE;50;100;88.0;98;100;88;5;1;0.0;3;2;15 rue DU DOCTEUR YVES DALLE;48200;Saint-Chély-d'Apcher;44,80370714630004;3,2736694553341534;48;76;11;48140;4,74;176
2023;0750664P;LYCEE RACINE;public;75108;PARIS 08;75;PARIS;PARIS;11;ILE-DE-FRANCE;309;99;93.0;97;99;86;-1;0;5.0;1;0;20 rue du Rocher;75008;Paris  8e  Arrondissement;48,87645065016210;2,3223004197252282;75;11;1;75108;4,74;177
2023;0780015T;LYCEE MILITAIRE NATIONAL;public;78545;SAINT CYR L ECOLE;78;YVELINES;VERSAILLES;11;ILE-DE-FRANCE;153;100;92.0;97;100;85;2;1;2.0;1;1;2 avenue Jean Jaurès;78210;Saint-Cyr-l'Ecole;48,79968998047751;2,0683965745541761;78;11;25;78545;4,74;179
2023;0670071N;LYCEE DOCTEUR KOEBERLE;public;67462;SELESTAT;67;BAS-RHIN;STRASBOURG;44;GRAND EST;232;100;94.0;97;99;84;5;1;5.0;2;1;Boulevard Charlemagne;67604;Sélestat;48,26305112957781;7,4569545715641610;67;44;15;67462;4,74;180
2023;0380027Y;LYCEE CHAMPOLLION;public;38185;GRENOBLE;38;ISERE;GRENOBLE;84;AUVERGNE-RHONE-ALPES;256;100;90.0;98;99;86;1;1;0.0;2;0;1 cours LAFONTAINE;38026;Grenoble;45,18777900808305;5,7250801664220621;38;84;8;38185;4,73;184
2023;0910626L;LYCEE BLAISE PASCAL;public;91471;ORSAY;91;ESSONNE;VERSAILLES;11;ILE-DE-FRANCE;347;98;95.0;96;98;86;-3;-2;5.0;0;-1;18 rue Alexandre Fleming;91401;Orsay;48,69577509777111;2,1862962374489117;91;11;25;91471;4,73;191
